step_start,step_end,mode,avg_time_s,tflops_per_gpu,loss
1290,1299,native,0.352052,132.91,11.988185
1300,1309,mori,0.300259,155.83,11.984699
1300,1309,native,0.349117,134.02,11.984699
1310,1319,mori,0.299862,156.04,11.997441
1310,1319,native,0.348046,134.44,11.997441
1320,1329,mori,0.309933,150.97,11.995684
1320,1329,native,0.348084,134.42,11.995684
1330,1339,mori,0.314429,148.81,11.98848
1330,1339,native,0.34928,133.96,11.98848
1340,1349,mori,0.317513,147.37,11.987113
1340,1349,native,0.351847,132.99,11.987113
1350,1359,mori,0.314347,148.85,11.951928
1350,1359,native,0.351891,132.97,11.951928
1360,1369,mori,0.315736,148.19,11.977591
1360,1369,native,0.352743,132.65,11.977591
1370,1379,mori,0.317646,147.3,12.000903
1370,1379,native,0.351311,133.19,12.000903
1380,1389,mori,0.320374,146.05,11.976672
1380,1389,native,0.350737,133.41,11.976672
1390,1399,mori,0.313455,149.27,11.989863
1390,1399,native,0.353618,132.32,11.989863
1400,1409,mori,0.317791,147.24,11.995697
1400,1409,native,0.352932,132.58,11.995697
1410,1419,mori,0.332602,140.68,11.973965
1410,1419,native,0.354139,132.12,11.973965
1420,1429,mori,0.318721,146.81,11.978371
1420,1429,native,0.352821,132.62,11.978371
1430,1439,mori,0.318599,146.86,11.97851
1430,1439,native,0.352025,132.92,11.97851
1440,1449,mori,0.335281,139.56,11.995025
1440,1449,native,0.351042,133.29,11.995025
1450,1459,mori,0.316463,147.85,11.986292
1450,1459,native,0.352718,132.66,11.986292
1460,1469,mori,0.314834,148.62,11.993563
1460,1469,native,0.353787,132.26,11.993563
1470,1479,mori,0.303658,154.09,11.996256
1470,1479,native,0.353325,132.43,11.996256
1480,1489,mori,0.297932,157.05,12.003199
1480,1489,native,0.358659,130.46,12.003199
1490,1499,mori,0.296422,157.85,12.013657
1490,1499,native,0.351769,133.01,12.013657
1500,1509,mori,0.312732,149.62,12.013978
1500,1509,native,0.351126,133.26,12.013978
1510,1519,mori,0.317297,147.47,11.997836
1510,1519,native,0.35176,133.02,11.997836
1520,1529,mori,0.320527,145.98,11.978138
1520,1529,native,0.351272,133.2,11.978138
1530,1539,mori,0.321502,145.54,11.983079
1530,1539,native,0.352511,132.73,11.983079
1540,1549,mori,0.318191,147.05,11.975079
1540,1549,native,0.352838,132.61,11.975079
1550,1559,mori,0.320331,146.07,11.996771
1550,1559,native,0.352503,132.74,11.996771
1560,1569,mori,0.318027,147.13,11.981701
1560,1569,native,0.351557,133.09,11.981701
1570,1579,mori,0.331285,141.24,11.98221
1570,1579,native,0.361187,129.55,11.98221
1580,1589,mori,0.318558,146.88,11.98075
1580,1589,native,0.351896,132.97,11.98075
1590,1599,mori,0.320693,145.9,11.981909
1590,1599,native,0.352056,132.91,11.981909
1600,1609,mori,0.316919,147.64,11.987957
1600,1609,native,0.350863,133.36,11.987957
1610,1619,mori,0.316406,147.88,11.983654
1610,1619,native,0.349159,134.01,11.983654
1620,1629,mori,0.318182,147.06,11.989223
1620,1629,native,0.351556,133.1,11.989223
1630,1639,mori,0.335496,139.47,11.97628
1630,1639,native,0.350708,133.42,11.97628
1640,1649,mori,0.315542,148.29,11.961402
1640,1649,native,0.353176,132.48,11.961402
1650,1659,mori,0.316455,147.86,11.982298
1650,1659,native,0.350746,133.4,11.982298
1660,1669,mori,0.312897,149.54,11.999773
1660,1669,native,0.351057,133.28,11.999773
1670,1679,mori,0.314101,148.97,11.976944
1670,1679,native,0.350986,133.31,11.976944
1680,1689,mori,0.316265,147.95,11.983235
1680,1689,native,0.349902,133.72,11.983235
1690,1699,mori,0.320033,146.2,11.973063
1690,1699,native,0.350166,133.62,11.973063
1700,1709,mori,0.316274,147.94,11.969663
1700,1709,native,0.351771,133.01,11.969663
1710,1719,mori,0.31609,148.03,11.983464
1710,1719,native,0.351231,133.22,11.983464
1720,1729,mori,0.315166,148.46,11.970797
1720,1729,native,0.350928,133.33,11.970797
1730,1739,mori,0.314584,148.74,11.975425
1730,1739,native,0.352632,132.69,11.975425
1740,1749,mori,0.316489,147.84,11.971767
1740,1749,native,0.3537,132.29,11.971767
1750,1759,mori,0.315284,148.41,11.961549
1750,1759,native,0.361456,129.45,11.961549
1760,1769,mori,0.315163,148.46,11.965991
1760,1769,native,0.34777,134.54,11.965991
1770,1779,mori,0.301559,155.16,11.978351
1770,1779,native,0.348416,134.29,11.978351
1780,1789,mori,0.302654,154.6,11.965206
1780,1789,native,0.348159,134.39,11.965206
1790,1799,mori,0.302798,154.53,11.964664
1790,1799,native,0.348844,134.13,11.964664
1800,1809,mori,0.315709,148.21,11.962788
1800,1809,native,0.360119,129.93,11.962788
1810,1819,mori,0.310654,150.62,11.969447
1810,1819,native,0.347516,134.64,11.969447
1820,1829,mori,0.318646,146.84,11.982681
1820,1829,native,0.347036,134.83,11.982681
1830,1839,mori,0.320393,146.04,11.961243
1830,1839,native,0.348084,134.42,11.961243
1840,1849,mori,0.316802,147.7,11.984357
1840,1849,native,0.353218,132.47,11.984357
1850,1859,mori,0.31665,147.77,11.974466
1850,1859,native,0.351043,133.29,11.974466
1860,1869,mori,0.329288,142.1,11.974264
1860,1869,native,0.351658,133.06,11.974264
1870,1879,mori,0.307727,152.05,11.970113
1870,1879,native,0.352598,132.7,11.970113
1880,1889,mori,0.298418,156.79,11.975022
1880,1889,native,0.352901,132.59,11.975022
1890,1899,mori,0.30002,155.96,11.965905
1890,1899,native,0.351651,133.06,11.965905
1900,1909,mori,0.299748,156.1,11.961224
1900,1909,native,0.353838,132.24,11.961224
1910,1919,mori,0.304248,153.79,11.959086
1910,1919,native,0.352579,132.71,11.959086
1920,1929,mori,0.299559,156.2,11.967624
