model,dtype,kernel,tokens,qp,repetitions,total_median_us,total_min_us,total_max_us,p95_rank_max_median_us,total_runs_us
r1,fp8,v2,256,2,3,456.2312570272078,455.65307959271917,460.0618610576052,462.87000477313995,"[456.2312570272078, 460.0618610576052, 455.65307959271917]"
r1,fp8,v2,256,4,3,438.08435671159936,435.46913252693827,439.17816734455266,449.1661995649338,"[435.46913252693827, 439.17816734455266, 438.08435671159936]"
r1,fp8,v2,256,8,3,450.1106131597069,448.9588525049902,450.79513656874667,466.5181964635849,"[450.79513656874667, 450.1106131597069, 448.9588525049902]"
r1,fp8,v2,1024,1,3,1289.7083212717853,1283.0679309393824,1292.1878412237454,1326.2837886810303,"[1283.0679309393824, 1292.1878412237454, 1289.7083212717853]"
r1,fp8,v2,1024,2,3,1298.4590547095086,1293.5998669729152,1300.1132575987742,1344.3536043167114,"[1293.5998669729152, 1298.4590547095086, 1300.1132575987742]"
r1,fp8,v2,1024,4,3,1236.2817381348075,1228.9571256601605,1249.266999035046,1293.4849798679352,"[1236.2817381348075, 1249.266999035046, 1228.9571256601605]"
r1,fp8,v2,1024,8,3,1139.2063235157523,1133.245063046443,1140.7913645279818,1189.3585801124573,"[1133.245063046443, 1140.7913645279818, 1139.2063235157523]"
r1,fp8,v2,4096,1,3,4423.263455002472,4421.8448747334805,4432.199059375401,4462.289667129517,"[4423.263455002472, 4421.8448747334805, 4432.199059375401]"
r1,fp8,v2,4096,2,3,5372.777543191252,5362.169391636191,5399.057278345371,5859.850740432739,"[5362.169391636191, 5399.057278345371, 5372.777543191252]"
r1,fp8,v2,4096,4,3,4924.103103064257,4899.311555485273,4934.897496397125,5455.920696258545,"[4934.897496397125, 4924.103103064257, 4899.311555485273]"
r1,fp8,v2,4096,8,3,4205.851485117756,4154.155527080955,4246.033524516328,4653.181409835815,"[4205.851485117756, 4246.033524516328, 4154.155527080955]"
r1,fp8,v2,8192,1,3,8581.96241382895,8581.912235967044,8593.276795128297,8636.447858810425,"[8593.276795128297, 8581.912235967044, 8581.96241382895]"
r1,fp8,v2,8192,2,3,9792.040615760046,9775.950395341577,9806.384311667804,10998.500633239746,"[9792.040615760046, 9806.384311667804, 9775.950395341577]"
r1,fp8,v2,8192,4,3,8990.086944195731,8975.671245106336,19258.368428924987,10029.905462265015,"[19258.368428924987, 8975.671245106336, 8990.086944195731]"
r1,fp8,v2,8192,8,3,7488.182389787559,7457.944761319407,7537.092478881622,8270.294570922852,"[7488.182389787559, 7457.944761319407, 7537.092478881622]"
r1,fp8,v2,16384,1,3,17133.46944389672,17128.26437888474,17135.81087465944,17200.855445861816,"[17133.46944389672, 17135.81087465944, 17128.26437888474]"
r1,fp8,v2,16384,2,3,18736.73514353818,18727.69062477967,18897.283782219063,20364.375972747803,"[18897.283782219063, 18727.69062477967, 18736.73514353818]"
r1,fp8,v2,16384,4,3,17441.436723388473,17308.224374364163,17456.90063875297,18875.605392456055,"[17456.90063875297, 17441.436723388473, 17308.224374364163]"
r1,fp8,v2,16384,8,3,14728.420169702891,14677.198850903018,53101.85704251815,15672.841739654541,"[14677.198850903018, 53101.85704251815, 14728.420169702891]"
r1,fp8,v2_ll,4,1,3,99.04958811941846,96.67428627867123,113.85508588964827,140.93239903450007,"[113.85508588964827, 96.67428627867123, 99.04958811941846]"
r1,fp8,v2_ll,4,2,3,117.14843497611582,101.92972600684854,118.71183582517351,166.06840267777443,"[118.71183582517351, 101.92972600684854, 117.14843497611582]"
r1,fp8,v2_ll,4,4,3,128.10190693186274,121.18101710100369,129.50420016744013,186.66060119867325,"[121.18101710100369, 129.50420016744013, 128.10190693186274]"
r1,fp8,v2_ll,4,8,3,151.76069541384692,150.5905278829922,153.44993724359264,159.33320224285126,"[150.5905278829922, 151.76069541384692, 153.44993724359264]"
r1,fp8,v2_ll,16,1,3,115.87544146860982,104.83075201447154,116.43912673703042,159.01299938559532,"[104.83075201447154, 115.87544146860982, 116.43912673703042]"
r1,fp8,v2_ll,16,2,3,117.94444589458149,106.05226692358225,118.69638112116733,160.70820093154907,"[118.69638112116733, 106.05226692358225, 117.94444589458149]"
